instanceId,modelShort,modelLong,strategy,heuristicsInfo,timeLimitSec,runtimeSec,gurobiRuntimeSec,status,bestObj,bestBound,upperBound,mipGapPercent,nodesExplored,lpRootObj,numVars,numConstr,numBinVars,numIntVars,timeFirstIncumbentSec
"j301_4","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.00475692749023,300.0,"TIME_LIMIT",62.0,55.0,62.0,11.2903,18901,1.93242,931,18930,900,900,2.448913097381592
"j301_4","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.2837300300598,300.28,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_4","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.22611689567565918,0.23,"OPTIMAL",62.0,62.0,62.0,0.0,1,56.0,1610,3836,1578,1578,0.08071494102478027
"j301_5","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,3.1640241146087646,3.16,"OPTIMAL",39.0,39.0,39.0,0.0,503,32.0,4992,40257,992,992,0.018491029739379883
"j301_5","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.1583249568939209,0.16,"OPTIMAL",39.0,39.0,39.0,0.0,1,32.0,3031,557,3031,3031,0.002825021743774414
"j301_5","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.01579689979553,300.02,"TIME_LIMIT",40.0,26.0,40.0,35.0,14752,1.304477,931,18930,900,900,0.00940394401550293
"j301_5","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.4182758331299,300.42,"TIME_LIMIT",40.0,8.0,40.0,80.0,1,,13981,15390,13950,13950,0.013116836547851562
"j301_5","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.506397008895874,0.51,"OPTIMAL",39.0,39.0,39.0,0.0,1,36.0,1618,3837,1586,1586,0.0018589496612548828
"j301_5","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,5.754354953765869,5.75,"OPTIMAL",39.0,39.0,39.0,0.0,1021,31.0,4992,40257,992,992,3.1172709465026855
"j301_5","DT-300","Discrete Time Model","STD","without heuristics",300.0,1.0363879203796387,1.04,"OPTIMAL",39.0,39.0,39.0,0.0,275,31.0,3031,557,3031,3031,0.7187769412994385
"j301_5","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.0074739456177,300.01,"TIME_LIMIT",40.0,25.0,40.0,37.5,27474,1.304477,931,18930,900,900,2.5301120281219482
"j301_5","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.1750211715698,300.17,"TIME_LIMIT",1.0E100,8.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_5","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.5968170166015625,0.6,"OPTIMAL",39.0,39.0,39.0,0.0,1,34.0,1618,3837,1586,1586,0.16658401489257812
"j301_6","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,2.424713134765625,2.42,"OPTIMAL",48.0,48.0,48.0,0.0,261,38.0,4992,40257,992,992,0.01821112632751465
"j301_6","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.1410839557647705,0.14,"OPTIMAL",48.0,48.0,48.0,0.0,1,40.5,2896,573,2896,2896,0.0019159317016601562
"j301_6","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,300.0037739276886,300.0,"TIME_LIMIT",48.0,37.0,48.0,22.9167,14830,1.556082,931,18930,900,900,0.009664058685302734
"j301_6","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.31563806533813,300.31,"TIME_LIMIT",48.0,10.0,48.0,79.1667,1,,13981,15390,13950,13950,0.013182878494262695
"j301_6","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.07191085815429688,0.07,"OPTIMAL",48.0,48.0,48.0,0.0,1,,1562,3668,1530,1530,0.002610921859741211
"j301_6","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,4.641671895980835,4.64,"OPTIMAL",48.0,48.0,48.0,0.0,81,38.0,4992,40257,992,992,0.3380420207977295
"j301_6","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.6173088550567627,0.62,"OPTIMAL",48.0,48.0,48.0,0.0,715,39.0,2896,573,2896,2896,0.32683587074279785
"j301_6","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,300.00514698028564,300.0,"TIME_LIMIT",49.0,37.0,49.0,24.4898,15359,1.556082,931,18930,900,900,5.311540126800537
"j301_6","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.5804579257965,300.58,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_6","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.09065985679626465,0.09,"OPTIMAL",48.0,48.0,48.0,0.0,1,44.0,1562,3668,1530,1530,0.0646059513092041
"j301_7","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.3850090503692627,0.38,"OPTIMAL",60.0,60.0,60.0,0.0,0,,4992,40257,992,992,0.017946958541870117
"j301_7","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.10462808609008789,0.1,"OPTIMAL",60.0,60.0,60.0,0.0,0,,3373,673,3373,3373,0.0022840499877929688
"j301_7","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,2.101093053817749,2.1,"OPTIMAL",60.0,60.0,60.0,0.0,1,3.75153,931,18930,900,900,0.009608983993530273
"j301_7","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.1745641231537,300.17,"TIME_LIMIT",60.0,10.0,60.0,83.3333,1,,13981,15390,13950,13950,0.013579130172729492
"j301_7","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.07246208190917969,0.07,"OPTIMAL",60.0,60.0,60.0,0.0,0,,1576,3715,1544,1544,0.0018241405487060547
"j301_7","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,0.2709519863128662,0.27,"OPTIMAL",60.0,60.0,60.0,0.0,1,60.0,4992,40257,992,992,0.26958298683166504
"j301_7","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.1043539047241211,0.1,"OPTIMAL",60.0,60.0,60.0,0.0,1,60.0,3373,673,3373,3373,0.10022091865539551
"j301_7","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,34.74590706825256,34.75,"OPTIMAL",60.0,60.0,60.0,0.0,1028,3.75153,931,18930,900,900,6.157912015914917
"j301_7","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.55488204956055,300.55,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_7","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.04021787643432617,0.04,"OPTIMAL",60.0,60.0,60.0,0.0,1,60.0,1576,3715,1544,1544,0.026257038116455078
"j301_8","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,0.30617594718933105,0.31,"OPTIMAL",53.0,53.0,53.0,0.0,0,,4992,40257,992,992,0.01826190948486328
"j301_8","DT-300","Discrete Time Model","VS","with heuristics",300.0,0.11146211624145508,0.11,"OPTIMAL",53.0,53.0,53.0,0.0,0,,3890,709,3890,3890,0.002437114715576172
"j301_8","OOE-300","On-Off Event Based Model","VS","with heuristics",300.0,1.537419080734253,1.54,"OPTIMAL",53.0,53.0,53.0,0.0,1,1.814461,931,18930,900,900,0.009429216384887695
"j301_8","IEE-300","Interval Event Based Model","VS","with heuristics",300.0,300.44799399375916,300.45,"TIME_LIMIT",53.0,10.0,53.0,81.1321,1,,13981,15390,13950,13950,0.013151884078979492
"j301_8","SEQ-300","Sequencing Model","VS","with heuristics",300.0,0.06337404251098633,0.06,"OPTIMAL",53.0,53.0,53.0,0.0,0,,1648,3928,1616,1616,0.0018100738525390625
"j301_8","FCT-300","Flow-Based Continuous Time Model","STD","without heuristics",300.0,0.8039789199829102,0.8,"OPTIMAL",53.0,53.0,53.0,0.0,1,53.0,4992,40257,992,992,0.7025918960571289
"j301_8","DT-300","Discrete Time Model","STD","without heuristics",300.0,0.27900004386901855,0.28,"OPTIMAL",53.0,53.0,53.0,0.0,1,53.0,3890,709,3890,3890,0.002649068832397461
"j301_8","OOE-300","On-Off Event Based Model","STD","without heuristics",300.0,98.36551022529602,98.37,"OPTIMAL",53.0,53.0,53.0,0.0,2677,1.814461,931,18930,900,900,4.468652009963989
"j301_8","IEE-300","Interval Event Based Model","STD","without heuristics",300.0,300.3774049282074,300.38,"TIME_LIMIT",1.0E100,10.0,1.0E100,,1,,13981,15390,13950,13950,
"j301_8","SEQ-300","Sequencing Model","STD","without heuristics",300.0,0.08854985237121582,0.09,"OPTIMAL",53.0,53.0,53.0,0.0,1,53.0,1648,3928,1616,1616,0.08391284942626953
"j301_9","FCT-300","Flow-Based Continuous Time Model","VS","with heuristics",300.0,2.797441005706787,2.8,"OPTIMAL",49.0,49.0,49.0,0.0,644,42.0,4992,40257,992,992,0.01879096031188965
