instanceId,modelKey,modelFamily,modelLongName,strategy,timeLimitSec,heuristicBuildTimeNs,objectiveValue,lowerBound,upperBound,gapPercent,solveTimeSec,nodesExplored,simplexIterations,workUnits,timeLimitReached,solvedOptimal,logFileName
j1201_4,OOE-600,OOE,On-Off Event Based Model,STD,600,83951914,1.0E100,1.0,1.0E100,100.0,600.2636110782623,1,33987,412.55,true,false,output_4.2.txt
j1201_4,SEQ-600,SEQ,Sequencing Model,STD,600,11868907,114.0,85.99999999999773,114.0,24.5614,600.0140731334686,15031,1889506,842.46,true,false,output_4.2.txt
j1201_5,FCT-600,FCT,Flow-Based Continuous Time Model,VS,600,38537828694,117.0,94.0,117.0,19.6581,600.0818438529968,1,73712,662.2,true,false,output_4.2.txt
j1201_5,FCT-600,FCT,Flow-Based Continuous Time Model,VH,600,39598201132,117.0,94.0,117.0,19.6581,600.1073460578918,1,68364,656.35,true,false,output_4.2.txt
j1201_5,DT-600,DT,Discrete Time Model,VS,600,38336398600,116.0,111.0,116.0,4.3103,600.0062370300293,15909,6212646,1227.49,true,false,output_4.2.txt
j1201_5,DT-600,DT,Discrete Time Model,VH,600,37972808136,112.0,111.0,112.0,0.8929,600.0062510967255,28909,4696616,1082.56,true,false,output_4.2.txt
j1201_5,OOE-600,OOE,On-Off Event Based Model,VS,600,38037165029,117.0,1.0,117.0,99.1453,600.4177839756012,1,28492,407.49,true,false,output_4.2.txt
j1201_5,OOE-600,OOE,On-Off Event Based Model,VH,600,38353882421,1.0E100,1.0,1.0E100,100.0,600.2228310108185,1,31682,388.08,true,false,output_4.2.txt
j1201_5,SEQ-600,SEQ,Sequencing Model,VS,600,38213860912,117.999999916716,98.99999999999994,117.999999916716,16.1017,600.0115578174591,4016,1228815,813.22,true,false,output_4.2.txt
j1201_5,SEQ-600,SEQ,Sequencing Model,VH,600,37344834222,119.99999998789293,99.0,119.99999998789293,17.5,600.0239629745483,7151,1773063,840.51,true,false,output_4.2.txt
j1201_5,FCT-600,FCT,Flow-Based Continuous Time Model,STD,600,31419905,1.0E100,94.0,1.0E100,100.0,600.0236032009125,1,68128,650.23,true,false,output_4.2.txt
j1201_5,DT-600,DT,Discrete Time Model,STD,600,56470461,137.0,101.0,137.0,26.2774,600.0103440284729,4481,915422,1503.38,true,false,output_4.2.txt
j1201_5,OOE-600,OOE,On-Off Event Based Model,STD,600,8507949,1.0E100,1.0,1.0E100,100.0,600.2632281780243,1,31682,391.09,true,false,output_4.2.txt
